CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatusSex,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,LiablePeople,Telephone,ForeignWorker,CreditRisk
lt0,Short,Critical account / other credits elsewhere,radio/television,Low,unknown / no savings,ge7 years,4,male: single,none,4,real estate,Old,none,own,2,skilled employee/official,1,yes (registered),yes,Good
0to200,Medium,Existing credits paid duly till now,radio/television,Low,lt100 DM,1to4 years,2,female: divorced/separated/married,none,2,real estate,Young,none,own,1,skilled employee/official,1,none,yes,Bad
No Checking,Short,Critical account / other credits elsewhere,education,Low,lt100 DM,4to7 years,2,male: single,none,3,real estate,Middle,none,own,1,unskilled - resident,2,none,yes,Good
lt0,Medium,Existing credits paid duly till now,furniture/equipment,Medium,lt100 DM,4to7 years,2,male: single,guarantor,4,building society savings / life insurance,Middle,none,for free,1,skilled employee/official,2,none,yes,Good
lt0,Short,Delay in paying off in the past,car (new),Low,lt100 DM,1to4 years,3,male: single,none,4,unknown / no property,Middle,none,for free,2,skilled employee/official,2,none,yes,Bad
No Checking,Medium,Existing credits paid duly till now,education,Medium,unknown / no savings,1to4 years,2,male: single,none,4,unknown / no property,Young,none,for free,1,unskilled - resident,2,yes (registered),yes,Good
No Checking,Short,Existing credits paid duly till now,furniture/equipment,Low,500to1000 DM,ge7 years,3,male: single,none,4,building society savings / life insurance,Middle,none,own,1,skilled employee/official,1,none,yes,Good
0to200,Medium,Existing credits paid duly till now,car (used),Medium,lt100 DM,1to4 years,2,male: single,none,2,car or other,Young,none,rent,1,management/self-employed/highly qualified/officer,1,yes (registered),yes,Good
No Checking,Short,Existing credits paid duly till now,radio/television,Low,ge1000 DM,4to7 years,2,male: divorced/separated,none,4,real estate,Old,none,own,1,unskilled - resident,1,none,yes,Good
0to200,Medium,Critical account / other credits elsewhere,car (new),Low,lt100 DM,unemployed,4,male: married/widowed,none,2,car or other,Young,none,own,2,management/self-employed/highly qualified/officer,1,none,yes,Bad
0to200,Short,Existing credits paid duly till now,car (new),Low,lt100 DM,lt1 year,3,female: divorced/separated/married,none,1,car or other,Young,none,rent,1,skilled employee/official,1,none,yes,Bad
lt0,Medium,Existing credits paid duly till now,business,Low,lt100 DM,lt1 year,3,female: divorced/separated/married,none,4,building society savings / life insurance,Young,none,rent,1,skilled employee/official,1,none,yes,Bad
0to200,Short,Existing credits paid duly till now,radio/television,Low,lt100 DM,1to4 years,1,female: divorced/separated/married,none,1,car or other,Young,none,own,1,skilled employee/official,1,yes (registered),yes,Good
lt0,Short,Critical account / other credits elsewhere,car (new),Low,lt100 DM,ge7 years,4,male: single,none,4,car or other,Old,none,own,2,unskilled - resident,1,none,yes,Bad
lt0,Short,Existing credits paid duly till now,car (new),Low,lt100 DM,1to4 years,2,female: divorced/separated/married,none,4,car or other,Young,none,rent,1,skilled employee/official,1,none,yes,Good
lt0,Short,Existing credits paid duly till now,radio/television,Low,100to500 DM,1to4 years,4,female: divorced/separated/married,none,2,car or other,Young,none,own,1,unskilled - resident,1,none,yes,Bad
No Checking,Short,Critical account / other credits elsewhere,radio/television,Low,unknown / no savings,ge7 years,4,male: single,none,4,building society savings / life insurance,Middle,none,own,2,skilled employee/official,1,none,yes,Good
lt0,Medium,No credits taken / all paid duly,business,Medium,unknown / no savings,lt1 year,2,male: single,none,3,car or other,Young,bank,own,3,skilled employee/official,1,none,yes,Good
0to200,Short,Existing credits paid duly till now,car (used),High,lt100 DM,ge7 years,4,female: divorced/separated/married,none,2,unknown / no property,Middle,none,for free,1,management/self-employed/highly qualified/officer,1,yes (registered),yes,Bad
No Checking,Short,Existing credits paid duly till now,radio/television,Low,500to1000 DM,ge7 years,3,male: single,none,2,car or other,Young,none,own,1,skilled employee/official,2,yes (registered),yes,Good
No Checking,Short,Critical account / other credits elsewhere,car (new),Low,lt100 DM,1to4 years,4,male: single,none,4,car or other,Middle,none,own,3,skilled employee/official,1,yes (registered),yes,Good
lt0,Short,Existing credits paid duly till now,radio/television,Low,500to1000 DM,1to4 years,2,male: single,none,3,real estate,Middle,none,rent,1,skilled employee/official,2,none,yes,Good
lt0,Short,Critical account / other credits elsewhere,car (new),Low,lt100 DM,lt1 year,1,male: single,none,3,real estate,Middle,none,rent,2,unskilled - resident,2,none,no,Good
