InstallmentRate,CreditHistory,Collateral,CheckingAccount,CreditAmount,EmploymentSince,Purpose,Capacity,Terms,Property,OtherDebtors,ForeignWorker,CreditRisk,Housing,ExistingCredits,Duration,ResidenceSince,Job,PersonalStatusSex,Capital,OtherInstallmentPlans,Age,SavingsAccount,LiablePeople,Character,Income
4,Critical_account__other_credits_elsewhere,some,lt0,Low,ge7_years,radio_television,medium,long,real_estate,none,yes,Good,own,2,Short,4,skilled_employee_official,male_single,low,none,Old,unknown__no_savings,1,good,medium
2,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,radio_television,high,long,real_estate,none,yes,Bad,own,1,Medium,2,skilled_employee_official,female_divorced_separated_married,low,none,Young,lt100_DM,1,good,high
2,Critical_account__other_credits_elsewhere,none,_0to200,Low,_4to7_years,education,low,medium,real_estate,none,yes,Good,own,1,Short,3,unskilled__resident,male_single,high,none,Middle,lt100_DM,2,bad,high
2,Existing_credits_paid_duly_till_now,none,lt0,Medium,_4to7_years,furniture_equipment,high,short,building_society_savings__life_insurance,guarantor,yes,Good,for_free,1,Medium,4,skilled_employee_official,male_single,low,none,Middle,lt100_DM,2,good,high
3,Delay_in_paying_off_in_the_past,none,lt0,Low,_1to4_years,car_new,low,long,unknown__no_property,none,yes,Bad,for_free,2,Short,4,skilled_employee_official,male_single,low,none,Middle,lt100_DM,2,good,medium
2,Existing_credits_paid_duly_till_now,none,_0to200,Medium,_1to4_years,education,medium,long,unknown__no_property,none,yes,Good,for_free,1,Medium,4,unskilled__resident,male_single,low,none,Young,unknown__no_savings,2,good,medium
3,Existing_credits_paid_duly_till_now,none,_0to200,Low,ge7_years,furniture_equipment,low,long,building_society_savings__life_insurance,none,yes,Good,own,1,Short,4,skilled_employee_official,male_single,low,none,Middle,_500to1000_DM,1,good,high
2,Existing_credits_paid_duly_till_now,good,No_Checking,Medium,_1to4_years,car_used,low,medium,car_or_other,none,yes,Good,rent,1,Medium,2,management_self_employed_highly_qualified_officer,male_single,low,none,Young,lt100_DM,1,good,high
2,Existing_credits_paid_duly_till_now,none,_0to200,Low,_4to7_years,radio_television,medium,short,real_estate,none,yes,Good,own,1,Short,4,unskilled__resident,male_divorced_separated,low,none,Old,ge1000_DM,1,bad,medium
4,Critical_account__other_credits_elsewhere,none,No_Checking,Low,unemployed,car_new,high,short,car_or_other,none,yes,Bad,own,2,Medium,2,management_self_employed_highly_qualified_officer,male_married_widowed,low,none,Young,lt100_DM,1,good,high
3,Existing_credits_paid_duly_till_now,good,No_Checking,Low,lt1_year,car_new,medium,short,car_or_other,none,yes,Bad,rent,1,Short,1,skilled_employee_official,female_divorced_separated_married,high,none,Young,lt100_DM,1,bad,medium
3,Existing_credits_paid_duly_till_now,some,lt0,Low,lt1_year,business,high,medium,building_society_savings__life_insurance,none,yes,Bad,rent,1,Medium,4,skilled_employee_official,female_divorced_separated_married,low,none,Young,lt100_DM,1,bad,high
1,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,radio_television,medium,long,car_or_other,none,yes,Good,own,1,Short,1,skilled_employee_official,female_divorced_separated_married,low,none,Young,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,lt0,Low,ge7_years,car_new,medium,medium,car_or_other,none,yes,Bad,own,2,Short,4,unskilled__resident,male_single,medium,none,Old,lt100_DM,1,good,high
